time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-20 00:00:00+00:00,8,7,14,11
2025-03-21 00:00:00+00:00,7,4,4,4
2025-03-22 00:00:00+00:00,9,6,5,4
2025-03-23 00:00:00+00:00,8,5,71,8
2025-03-24 00:00:00+00:00,7,6,51,12
2025-03-25 00:00:00+00:00,8,8,9,8
2025-03-26 00:00:00+00:00,8,6,16,8
2025-03-27 00:00:00+00:00,6,4,7,7
2025-03-28 00:00:00+00:00,5,4,9,6
2025-03-29 00:00:00+00:00,6,6,2,2
2025-03-30 00:00:00+00:00,5,5,227,11
2025-03-31 00:00:00+00:00,7,7,24,14
2025-04-01 00:00:00+00:00,5,5,22,13
2025-04-02 00:00:00+00:00,2,2,18,7
