time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-06 00:00:00+00:00,5,4,19,10
2023-07-07 00:00:00+00:00,6,5,21,17
2023-07-08 00:00:00+00:00,5,4,2,2
2023-07-09 00:00:00+00:00,6,5,1,1
2023-07-10 00:00:00+00:00,6,5,84,16
2023-07-11 00:00:00+00:00,8,6,61,9
2023-07-12 00:00:00+00:00,6,5,31,11
2023-07-13 00:00:00+00:00,5,4,6,5
2023-07-14 00:00:00+00:00,6,5,1,1
2023-07-15 00:00:00+00:00,6,5,1,1
2023-07-16 00:00:00+00:00,5,4,2,2
2023-07-17 00:00:00+00:00,7,6,23,11
2023-07-18 00:00:00+00:00,10,8,31,14
2023-07-19 00:00:00+00:00,3,3,19,15
