time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-01 00:00:00+00:00,17,11,165,7
2025-08-02 00:00:00+00:00,18,12,36,8
2025-08-03 00:00:00+00:00,10,4,211,11
2025-08-04 00:00:00+00:00,17,11,157,14
2025-08-05 00:00:00+00:00,14,7,65,31
2025-08-06 00:00:00+00:00,12,6,35,13
2025-08-07 00:00:00+00:00,13,7,28,10
2025-08-08 00:00:00+00:00,13,7,17,6
2025-08-09 00:00:00+00:00,14,7,299,6
2025-08-10 00:00:00+00:00,12,6,68,13
2025-08-11 00:00:00+00:00,13,6,212,17
2025-08-12 00:00:00+00:00,16,9,67,12
2025-08-13 00:00:00+00:00,15,8,34,14
2025-08-14 00:00:00+00:00,1,1,112,11
