url_path,views_total,views_unique
/awslabs/aws-cloudsaga,169,126
/awslabs/aws-cloudsaga/tree/main/cloudsaga,16,13
/awslabs/aws-cloudsaga/tree/main/cloudsaga/scenarios,12,9
/awslabs/aws-cloudsaga/tree/main/screenshots,8,7
/awslabs/aws-cloudsaga/blob/main/screenshots/imds-reveal-example.png,7,7
/awslabs/aws-cloudsaga/blob/main/cloudsaga/scenarios/mining_bitcoin.py,7,5
/awslabs/aws-cloudsaga/blob/main/LICENSE,2,2
/awslabs/aws-cloudsaga/blob/main/cloudsaga/cloudsaga.py,1,1
/awslabs/aws-cloudsaga/blob/main/cloudsaga/scenarios/iam_credentials.py,1,1
/awslabs/aws-cloudsaga/blob/main/cloudsaga/scenarios/network_changes.py,1,1
