time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-16 00:00:00+00:00,8,6,80,12
2024-04-17 00:00:00+00:00,6,6,85,13
2024-04-18 00:00:00+00:00,11,8,76,13
2024-04-19 00:00:00+00:00,6,6,91,8
2024-04-20 00:00:00+00:00,11,8,15,7
2024-04-21 00:00:00+00:00,5,5,60,8
2024-04-22 00:00:00+00:00,7,7,114,11
2024-04-23 00:00:00+00:00,3,3,21,11
2024-04-24 00:00:00+00:00,9,8,19,8
2024-04-25 00:00:00+00:00,5,5,58,18
2024-04-26 00:00:00+00:00,6,6,73,16
2024-04-27 00:00:00+00:00,8,8,59,5
2024-04-28 00:00:00+00:00,5,5,54,4
2024-04-29 00:00:00+00:00,8,6,62,10
